post_id;text;image_url;views_count
712417;??Благодаря вашей группе Лёва (новое сокращение от его прошлого имени Лебовски) нашёл дом!  Хочу передать благодарность админам и подписчикам и, конечно же, новой семье котана.   На первом фото - состояние, в котором мы забрали его спасаться и лечиться с турбазы в предгорьях Адыгеи. У него обнаружили ВИК, двусторонний отит, запущенный нотоэдроз, лишай, лямблиоз... Крайнее истощение, разумеется. Едва ли он пережил бы зиму.   На следующем коллаже он через полгода. Игривый активный ещё молодой кот, очень контактный и любящий людей. Никакие сложности выживания и лечения его не сломили. Собственно, жизнелюбие и стойкость его и спасли, ведь если бы он не продолжал упорно выходить к новым туристам, несмотря ни на что, мы бы его и не забрали.   Ну а все остальные кадры уже из Москвы, из его нового дома, от его прекрасной хозяйки Юлии. ??  Именно в этом сообществе она увидела мой пост про него.;https://sun9-37.userapi.com/s/v1/ig2/0XKdwxjPcGP9Wt-a_B16NxfrD9tHmSQd0RcVYaAHn9MhyE0kBE3CQT03j4kM34AHRZAYpKodf9SnrGdTV6c5LBXb.jpg?quality=95&as=32x32,48x48,72x72,108x108,160x160,240x240,360x360,480x480,540x540,640x640,720x720,1080x1080,1280x1280,1440x1440,1861x1861&from=bu&u=g7WUJWLGAEntm4snAg7i3YsP7HYrX-oYkjWpTQAYmhA&cs=510x510;22017
715488;"Этот пост — моя огромная благодарность тебе за все годы что ты живёшь с нами???? В это 16 апреля он становится взрослым мальчиком и празднует двенадцать лет! Пончик, Пончика, дурак, жопа, «он не толстый он пушистый». Почти двенадцать лет он сопровождает нас, утешает в трудные моменты и создаёт множество радостных.    Всех котят из выводка утопили и оставили нам только его. Помню, сначала он плохо прижился в доме, стрессовал и прятался по углам а через пару месяцев освоился и уже стал любимым котом. По нашей неопытности тем же летом он получил камни в почках и мы лечили его, делали уколы и успокаивали когда ему было страшно. Первые фотографии - единственные сохранившиеся с того времени, на них ему всего полгода, а мне семь. Пончика очень умный и понятливый кот, сам открывает двери и устраивает соло-оперу в пять утра, обожает солнечный летний балкон, пить из-под крана и из большого ведра и вылизывать нам лицо (мы оченб грязные по мнению его величества). Маменькин сынок, чуть что сразу бежит к ней и ябедничает про то что ему недоложили корма. Самый главный и прекрасно знает это, мем ""мама: я люблю вас всех одинаково"" это про нашу иерархию в семье. Очень любит дачу и так же знает, что он там самый главный, быстро отучался от поводка, хотя и сейчас редко отходит от нас дальше чем на пять метров. Защищает территорию от кошек (которых мы предательски подкармливаем) и запасы от мышей (на птиц не наловчился). Нереально любит спать на бустере, играть в догонялки по квартире, крутиться на моем стуле, драть его и раскидывать везде свою волосню.  К сожалению, в начале октября 2022 года ему, после многочисленных клиник, анализов и операции ему постановили карциному и сказали что он проживёт не больше недели. Это сломило всех нас и в первую очередь меня, ведь я провела с ним всю сознательную жизнь. Но... чтьтож он немыслимый дурак и говнюк, и поэтому дни шли, шли, а его состояние оставалось всё таким же стабильным, кус жеским, клич громким, а аппетит неуёмным. Сейчас уже и не вспоминаем про это, только о том какой он у нас сильный и что он переживёт всех нас сто раз.    Фотографий его накопилось очень много, хотя большинству из них не больше трёх лет. Всё что нужно о нём знать - он главная звезда и шутки о том, что он мамин главный ребёнок - вовсе не шутки. Спасибо тебе за всё, я рада что сейчас, пока я пишу это, ты лежишь головой на клавиатуре и мешаешь своей головёшкой???? Ты лучший кот, о котором можно мечтать.  t.me/kotrastet/7350";https://sun9-2.userapi.com/s/v1/ig2/yvvLn8X1A43ipqVf8d_HkXqrYRHfRWjxp52AmeAcmD0IVAbbhrOH9n-QRzn0mvlOAsawIsIoxCXhj7H4hgyfCocB.jpg?quality=95&as=32x24,48x36,72x54,108x81,160x120,240x180,360x270,480x360,540x405,640x480,720x540,1080x810,1280x960&from=bu&u=75uK1A7MLFmOW2y7ipuxnZoem-Y0H4acj5bVNbhUvTM&cs=510x382;1643
715456;Пост памяти. Почти неделя прошла, как нестало моего верного друга, который согревал мою жизнь своим присутствием, был рядом в сложные моменты. А теперь будто часть сердца вырвали из груди. Но я благодарна моему Пушочку за наши игры, лежание вдвоём на диване, за то, что он всегда встречал. Он был удивительно ласковым, добрым, спокойным мальчиком. Будто где то сверху решили, что этот котик идеально мне подходит и дали нам целых 10 лет. Но болезнь оказалась сильнее нашей любви и привязанности... Но теперь котику больше не нужно посещать врачей, принимать мерзкие лекарства, теперь он будет ждать меня на радуге и мы обязательно встретимся...;https://sun9-28.userapi.com/s/v1/ig2/RRq1zjHbscgE7AWK71EXAIcU2t1vsMgLkIPFo78xIXFVd6iPO9JbjGA8T6KvQBdSXPnvmuGBq4YQ23VaTReTSSJa.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1620x2160&from=bu&u=VQad9hGu-7ub3KYygembEnKZlhP5xYiXe184JNBdYkM&cs=510x680;5449
715434;Здравствуйте! Мы здесь уже были, решили поделиться с вами новыми фоточками ???;https://sun9-46.userapi.com/s/v1/ig2/Ej_fUniBQx4sje8vj8a6AwqgZWcVItWqR0pLfrioSukLQ7v4MWEp1TQH-gUlG2hsfpRa9Sz6EDcM73flRew6is26.jpg?quality=95&as=32x41,48x62,72x93,108x140,160x207,240x311,360x466,480x621,540x699,640x828,720x932,989x1280&from=bu&u=P3fJTri4BxLXbWcfcu4ATMM-4jr4O9ps-BcIRYKNAvg&cs=510x660;6601
715396;Шотландская шоколадка Alf Crystal Dew, ну или просто Шерлок) Настоящий котосов!  19 июля исполнился год)  И за этот год наш котик много где побывал. Изначально приехал к нам в Петербург из Иваново. Потом летал на самолете до Москвы, с Москвы до Южно-Сахалинска, а оттуда на остров Итуруп) Да-да. Успел познакомиться с курильскими бобтейлами (фото красавца Кеши прикрепляю, может кто-то знает этого знаменитого кота Итурупа)))  Полгода жили на острове, потом вернулись в родной Петербург. Самый контактный и милый котик. Его можно тискать и целовать 24/7. Конечно, все соблюдают кошачьи личные границы, хоть и хочется иногда его съесть)  Очень любим нашего толстопопого котосову??;https://sun9-58.userapi.com/s/v1/ig2/DoMIz02AA2Kdh85-XFIriTiUSODYHISn9ydrNJjIFnaELTEyLB3H4i7Mc2_vhu1MMuQT6PIVxoMBkfsq9Sn1AmHS.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x854,720x961,1080x1441,1280x1708,1439x1920&from=bu&u=xfUmmQU_v3jAKE74q9dgK5DGujg7MckdYOCWw4VF7ZQ&cs=510x680;27749
715339;доброго времени суток!! это Пуся, ей 10 лет 1 - портрет  2 - греется на солнышке  3 - смешняво лежит 4 - красиво лежит  5 - смешнявая фотография 6 - снова портрет  7 - лапочка  8 - хоба  9 - смешнявая фотография;https://sun9-42.userapi.com/s/v1/ig2/FZJVlfn9tmIYl7OhmBSUtkbdfIIuFk7sOOmZl-pq9fdp3YQP562-Di4hjeV1EUgilf_wrCQnI9LtLbpQ6p7Zd7MQ.jpg?quality=95&as=32x42,48x63,72x94,108x141,160x210,240x314,360x471,480x629,540x707,640x838,720x943,1080x1414,1280x1676,1440x1886,1955x2560&from=bu&u=TqirTSaRnuYL8wDFr1vzua1T9AlWvSvD8fLFdSKaGFQ&cs=510x668;9646
715298;Грустный пост!  ??Пост памяти   1.11.2024 в 21:13 не стало Кузи. Котика из этого поста: https://vk.com/wall-152141431_343234  Сначала предполагали перетонит, потом лейкому. Вскрытие показало отравление. Мы боролись с ним до конца. Умер он у мамы на руках в ветклинике, когда его пытались реанимировать. Он умер на руках своего самого любимого человека, хоть и принесла кота в дом...я.   Малыш, спи спокойно. Ты устал. Отдыхай. Ты заслужил, ты боролся до конца. Ты умница. Я тебя люблю. И мама тебя любит. Пожалуйста, навещай нас когда на небе будет радуга ??. Я буду тебя ждать...С радугой.   Я назвала тебя в честь котенка из книжки С.Мальцева. За твой весёлый яркий рыжий нос. У тебя были прекрасные зелёные глаза. Ты был игривый, умный и самый вежливый кот на свете. Последние часы жизни будучи тряпочкой ты все равно полз на лоток. И не понимал, что происходит у тебя с телом. Почему оно не слушается. Почему ты писяешься.   Тяжело. Он у нас с 2-х месяцев. Тяжело видеть. Как твое сокровище угасает на глазах. Смотреть в его мертвые стеклянные глазки тоже было очень-очень больно. Это мой первый питомец и как будто бы последний. Я не знаю смогу ли завести другого кота. Или вообще кого-то еще. Мы в ответе за тех кого приручилили.   Пожалуйста, будьте с ними до конца. Если умерло животное, то попрощайтесь с ним. Обязательно. Больно, но нужно. Мы для них целая жизнь. А они для нас период жизни;https://sun9-9.userapi.com/s/v1/ig2/FDB62UHjce3ysnP_vrx-6sK1KnleECP38uvv47d_hzglMC4jNh0A1ZEuGIqcLFDSA-bZ7PXW79CTtkL3wxylrWRg.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,1080x1440,1280x1707,1440x1920,1920x2560&from=bu&u=dYk43DyeX4Wcofwy2LqAX2pvgRLoV1UyyCkkKfO5ahE&cs=510x680;10445
715280;Знакомьтесь, вот эту мелочь зовут Боня, полное имя Синнабон, Булка с корицей, Бонита Александровна) Мы с мужем случайно наткнулись на неё в секторе частных домов, когда гуляли весной. Ласковая и игривая девочка сразу привлекла внимание. Но на территории много собак, и мы сразу подали клич в общий чат района. Никто не откликнулся. А кисуня пошла за нами, прям до дома проводила. Мы взяли её на временную передержку в надежде, что хозяева откликнуться, но этого так и не произошло.  Так что теперь вот такая своенравная девушка живёт у нас. Очень любит спать под боком или на тебе, играть в футбол, лизать кастрюлю)) делать царап-царап и сидеть на окне смотреть на улицу. С мая она ещё очень подросла и стала прям грациозной модельной кошечкой. На руки не даётся, но очень любит придти сама на коленки прыгнуть);https://sun9-14.userapi.com/s/v1/ig2/Y3yV32YlMUa5PkSSqFRtHU3OyJmSfDtTp6rYxzCK6h-YHI9J6x48ruKmQo9iz480SzonqCoSN7ZY2BpuR5RwIoJY.jpg?quality=95&as=32x57,48x85,72x128,108x192,160x284,240x427,360x640,480x853,540x960,640x1138,720x1280,900x1600&from=bu&u=GZnQWHz1KxpjmokvVy3rUkOFGrw11N7CpsCL0iwQY8g&cs=510x900;10491
715267;Мы тут уже были https://vk.com/wall326851593_222 , но у нас случилось пополнение. Василий попал к нам уже почти взрослым котиком. Очень наглый и самодостаточный кот, который через 5 минут нахождения в доме покакал в лоток Дуси и уплетал из её миски корм ??  Стычки, конечно же бывают, но обычно живут тихо-мирно. Работают в команде, один на стреме, второй шкодит. Если дверцы шкафа закрыты- не порядок. В туалет? И без нас????  Нет места в доме, где бы не было их шерсти. Но жизни без них мы уже не представляем.;https://sun9-5.userapi.com/s/v1/ig2/H8Z9P1ThbqJmcdn4XF-QOmF2W1Cka8DmJbwpyGvj2CR1DAWaVIHiGtTutIt_TKV_-TvPTD0NMKv6D0VbuvMPI79K.jpg?quality=95&crop=0,0,1200,1598&as=32x43,48x64,72x96,108x144,160x213,240x320,360x479,480x639,540x719,640x852,720x959,1080x1438,1200x1598&from=bu&u=mIJhXOK7jDXdMDIl8Tl-xwx0EHCZtcjxapRiBg_S9aQ&cs=540x719;8734
715241;Клёпа растёт  Но всё ещё не доросла до Клеопатры ??  Пока просто Крыска-бандитка  t.me/kotrastet/8550;https://sun9-52.userapi.com/s/v1/ig2/YGjTKjvo_jgnxhm-Vlupde3SCLJbrxgqVo8QPyMwMzgvrcs7UXw6wQVK-RBw6ZKTgHVGDZZyxKCcTW-Q381-ond_.jpg?quality=95&as=32x43,48x64,72x96,108x144,160x213,240x320,360x480,480x640,540x720,640x853,720x960,960x1280&from=bu&u=TIm5GfI4_2y0Ea8AUVEXDz8-0d4q454iDtCocuvkOFI&cs=510x680;21063
